journal_id,name
"2025 40TH YOUTH ACADEMIC ANNUAL CONFERENCE OF CHINESE ASSOCIATION OF AUTOMATION, YAC","2025 40TH YOUTH ACADEMIC ANNUAL CONFERENCE OF CHINESE ASSOCIATION OF AUTOMATION, YAC"
INTERNATIONAL JOURNAL OF DATA WAREHOUSING AND MINING,INTERNATIONAL JOURNAL OF DATA WAREHOUSING AND MINING
APPLIED INTELLIGENCE,APPLIED INTELLIGENCE
8TH INTERNATIONAL CONFERENCE ON INFORMATION TECHNOLOGY AND QUANTITATIVE MANAGEMENT (ITQM 2020 & 2021): DEVELOPING GLOBAL DIGITAL ECONOMY AFTER COVID-19,8TH INTERNATIONAL CONFERENCE ON INFORMATION TECHNOLOGY AND QUANTITATIVE MANAGEMENT (ITQM 2020 & 2021): DEVELOPING GLOBAL DIGITAL ECONOMY AFTER COVID-19
ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS,ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS
ACM TRANSACTIONS ON MULTIMEDIA COMPUTING COMMUNICATIONS AND APPLICATIONS,ACM TRANSACTIONS ON MULTIMEDIA COMPUTING COMMUNICATIONS AND APPLICATIONS
DIAMOND AND RELATED MATERIALS,DIAMOND AND RELATED MATERIALS
INTELLIGENT AUTOMATION AND SOFT COMPUTING,INTELLIGENT AUTOMATION AND SOFT COMPUTING
IEEE SENSORS JOURNAL,IEEE SENSORS JOURNAL
FRONTIERS IN MICROBIOLOGY,FRONTIERS IN MICROBIOLOGY
IMAGE AND VISION COMPUTING,IMAGE AND VISION COMPUTING
INTERNATIONAL JOURNAL OF SOFTWARE SCIENCE AND COMPUTATIONAL INTELLIGENCE-IJSSCI,INTERNATIONAL JOURNAL OF SOFTWARE SCIENCE AND COMPUTATIONAL INTELLIGENCE-IJSSCI
CIRCUIT WORLD,CIRCUIT WORLD
CHINA SURFACE ENGINEERING,CHINA SURFACE ENGINEERING
HUMANITIES & SOCIAL SCIENCES COMMUNICATIONS,HUMANITIES & SOCIAL SCIENCES COMMUNICATIONS
JOURNAL OF INFORMATION & KNOWLEDGE MANAGEMENT,JOURNAL OF INFORMATION & KNOWLEDGE MANAGEMENT
"ADVANCED INTELLIGENT COMPUTING TECHNOLOGY AND APPLICATIONS, PT I, ICIC 2024","ADVANCED INTELLIGENT COMPUTING TECHNOLOGY AND APPLICATIONS, PT I, ICIC 2024"
CARBON PEAK AND NEUTRALITY STRATEGIES OF THE CONSTRUCTION INDUSTRY (ICCREM 2022),CARBON PEAK AND NEUTRALITY STRATEGIES OF THE CONSTRUCTION INDUSTRY (ICCREM 2022)
MUSEUM WORLDS,MUSEUM WORLDS
PROCEEDINGS OF 2021 INTERNATIONAL CONFERENCE ON WAVELET ANALYSIS AND PATTERN RECOGNITION (ICWAPR),PROCEEDINGS OF 2021 INTERNATIONAL CONFERENCE ON WAVELET ANALYSIS AND PATTERN RECOGNITION (ICWAPR)
ACS APPLIED NANO MATERIALS,ACS APPLIED NANO MATERIALS
ASIA PACIFIC JOURNAL OF MARKETING AND LOGISTICS,ASIA PACIFIC JOURNAL OF MARKETING AND LOGISTICS
INTERNATIONAL JOURNAL OF COMMUNICATION,INTERNATIONAL JOURNAL OF COMMUNICATION
"PATTERN RECOGNITION AND COMPUTER VISION, PRCV 2025, PT IX","PATTERN RECOGNITION AND COMPUTER VISION, PRCV 2025, PT IX"
"2025 IEEE CONGRESS ON EVOLUTIONARY COMPUTATION, CEC","2025 IEEE CONGRESS ON EVOLUTIONARY COMPUTATION, CEC"
