keyword_id,name
offshore wind power forecasting,offshore wind power forecasting
lstm,LSTM
time series decomposition,Time series decomposition
time-frequency domain fusion,Time-frequency domain fusion
channel clustering,Channel clustering
basic -element theory,Basic -Element Theory
big data,Big data
brainstorming method,Brainstorming method
extenics,extenics
extension innovation method,extension innovation method
human-computer interaction,Human-Computer Interaction
problem solving,Problem solving
positive and unlabeled learning,Positive and unlabeled learning
dictionary learning,Dictionary learning
the first creating method,The First Creating Method
intelligent recycling system,Intelligent Recycling System
cosmetics,Cosmetics
vlsi,VLSI
drc hotspot prediction,DRC hotspot prediction
convolutional neural network,convolutional neural network
graph neural network,graph neural network
multi-label recognition,Multi-label recognition
partial labels,Partial labels
vision-language model,Vision-language model
uv-catalysis,UV-catalysis
polishing disc materials,Polishing disc materials
single crystal diamond,Single crystal diamond
friction and wear experiments,Friction and wear experiments
chemical mechanical polishing,Chemical mechanical polishing
pareto front,Pareto Front
desirability function,Desirability Function
pareto solution,Pareto Solution
volutionary multi-objective optimization algorithm,Volutionary Multi-objective Optimization Algorithm
preference,preference
brain-computer interface,Brain-computer interface
electroencephalography (eeg) acquisition circuit,electroencephalography (EEG) acquisition circuit
eeg signal,EEG signal
reliability,Reliability
temperature stability,temperature stability
lncrna-long noncoding rna,lncRNA-long noncoding RNA
disease,disease
similarity correction,similarity correction
constraint probability matrix decomposition,constraint probability matrix decomposition
associations prediction,associations prediction
cloth -changing person re -identification multi,Cloth -changing person re -identification multi
task learning,task learning
meta learning tensor feature,Meta learning tensor feature
relation network,Relation network
ernie,ERNIE
incremental pre-training,Incremental Pre-Training
knowledge graph,Knowledge Graph
loan,Loan
question answering platform,Question Answering Platform
semantic matching training,Semantic Matching Training
token-level random mask,Token-Level Random Mask
word-level fixed mask,Word-Level Fixed Mask
hotspot detection,Hotspot detection
machine learning,machine learning
capsule network,capsule network
integrated circuit,Integrated circuit
layout congestion,layout congestion
deep learning,Deep learning
regression vision,regression vision
transformer,transformer
double generated adversarial network,double generated adversarial network
dielectric barrier discharge,dielectric barrier discharge
full-bridge inverter,Full-bridge inverter
pulse power supply,Pulse power supply
voltage excitation,Voltage excitation
soft switching,Soft switching
wire delay,Wire delay
cell delay,cell delay
wire length,wire length
multi-task learning,Multi-task learning
graph convolu-tional network,graph convolu-tional network
zr-based bmgs,Zr-based BMGs
plasma electrolytic polishing,plasma electrolytic polishing
surface quality,surface quality
process optimization,Process optimization
waste liquor treatment,waste liquor treatment
online healthcare community,Online healthcare community
behaviour intention,behaviour intention
elaboration likelihood model,elaboration likelihood model
service quality,service quality
online reviews,online reviews
event extraction,Event Extraction
event ontology,Event Ontology
hierarchy-gcn,Hierarchy-GCN
stock selection,Stock Selection
support vector regression(svr),Support Vector Regression(SVR)
correlation analysis,correlation analysis
sliding window,Sliding Window
ti3c2t (x),Ti3C2T (x)
cofe2o4 nanosheets,CoFe2O4 nanosheets
insitu verticalgrowth,insitu verticalgrowth
heterostructure,Heterostructure
microwave absorption,microwave absorption
promotion preannouncements,Promotion preannouncements
brand,Brand
spillover effects,Spillover effects
purchase intention,purchase intention
data heterogeneity,Data Heterogeneity
degraded clustering,Degraded Clustering
cascaded optimization,Cascaded Optimization
performance analysis,performance analysis
benchmarking,Benchmarking
meta-benchmarking,meta-benchmarking
paradox analysis,paradox analysis
evolutionary computation,evolutionary computation
neural processing unit,Neural Processing Unit
fpga,FPGA
simd architecture,SIMD Architecture
neural network inference,Neural Network Inference
erp,ERP
cooperation,cooperation
instant messaging,instant messaging
software testing,software testing
cscw,CSCW
many-objective optimization,many-objective optimization
multiple linear regression,Multiple linear regression
decomposition,decomposition
graph neural networks,Graph neural networks
backdoor attacks,Backdoor Attacks
node injection,Node Injection
security,security
domain adaptation,Domain adaptation
domain shift,Domain shift
distribution alignment,Distribution alignment
push-pull,Push-pull
reduced switches,Reduced switches
step-up,Step-up
bilevel optimization,Bilevel Optimization
evolutionary algorithm,evolutionary algorithm
variable separability,Variable Separability
prefabricated construction,Prefabricated construction
supply chain,supply chain
resilience,Resilience
multi-objective artificial electric field algorithm,Multi-objective artificial electric field algorithm
optimization,Optimization
carbon emission,carbon emission
multi-modality image registration,Multi-modality image registration
modality translation,Modality translation
image fusion,Image Fusion
frequency-aware,Frequency-aware
geometric structure-guided,Geometric structure-guided
large models,large models
fine-tuning,fine-tuning
visualglm-6b,visualglm-6b
case-based reasoning,case-based reasoning
risk scene,risk scene
uniform search,Uniform search
grid search,grid search
dynamic,dynamic
multiobjective optimization,multiobjective optimization
iris detection,Iris detection
multi-task cascaded convolutional networks,Multi-task Cascaded Convolutional Networks
fully convolutional networks,Fully Convolutional Networks
hough transform,Hough transform
agents,agents
multi-agent systems,multi-agent systems
intrusion detection,intrusion detection
memristive chaotic system,Memristive chaotic system
multi-butterfly attractor,Multi-butterfly attractor
chaotic synchronization,Chaotic synchronization
numerical simulation verification,Numerical simulation verification
dual-functional radar and communication,dual-functional radar and communication
transmit and receive beamvectors,transmit and receive beamvectors
joint robust optimal design,joint robust optimal design
mi-mo radar,MI-MO radar
secondary multicast downlink transmission,secondary multicast downlink transmission
hue contrast,Hue contrast
web satisfaction,Web satisfaction
ad memory,Ad memory
attention intrusion,Attention intrusion
eye tracking,Eye tracking
scoliosis training,Scoliosis Training
wearable device,Wearable Device
imu,IMU
graph convolutional neural network,Graph convolutional neural network
link prediction,link prediction
attribute activation,Attribute activation
node attribute characteristics,Node attribute characteristics
federated learning,federated learning
uncertain data,uncertain data
privacy protection,privacy protection
entity alignment,Entity alignment
relation attention,Relation attention
temporal knowledge graph,Temporal knowledge graph
representation learning,Representation learning
unconstrained optimization,unconstrained optimization
