author_id,institution_id
"Zhou, Fuhai",Guangdong University of Technology
"Xiang, Weixian",Guangdong University of Technology
"Huang, Rongrui",Guangdong University of Technology
"Zhang, Bin",Guangdong University of Technology
"Li, Xingsen",Guangdong University of Technology
"Pi, Haibin",Guangdong University of Technology
"Sun, Junwen",Guangdong University of Technology
"Zhang, Hao Lan",Guangdong University of Technology
"Liang, Zhencheng",Guangdong University of Technology
"Liu, Bo",Guangdong University of Technology
"Liu, Zhijing",Guangdong University of Technology
"Xiao, Yanshan",Guangdong University of Technology
"Wang, Jinguang",Guangdong University of Technology
"Tang, Mincong",Guangdong University of Technology
"Wang, Hao",Guangdong University of Technology
"Lin, Jingui",Guangdong University of Technology
"Liang, Shiyan",Guangdong University of Technology
"Lin, Wenxiong",Guangdong University of Technology
"Gao, Peng",Guangdong University of Technology
"Xing, Yan",Guangdong University of Technology
"Wu, Tingting",Guangdong University of Technology
"Xiong, Xiaoming",Guangdong University of Technology
"Cai, Shuting",Guangdong University of Technology
"Ruan, Haoxian",Guangdong University of Technology
"Xu, Zhihua",Guangdong University of Technology
"Yang, Zhijing",Guangdong University of Technology
"Lu, Yongyi",Guangdong University of Technology
"Qin, Jinghui",Guangdong University of Technology
"Chen, Tianshui",Guangdong University of Technology
"Liu, Wentao",Guangdong University of Technology
"Lu, Jiabin",Guangdong University of Technology
"Xiong, Qiang",Guangdong University of Technology
"Wang, Xinhan",Guangdong University of Technology
"Yan, Qiusheng",Guangdong University of Technology
"Li, Zhenhua",Guangdong University of Technology
"Liu, Hai-Lin",Guangdong University of Technology
"Wang, Xiaoman",Guangdong University of Technology
"Huang, Wei",Guangdong University of Technology
"He, Chunhua",Guangdong University of Technology
"Wu, Heng",Guangdong University of Technology
"Lin, Jing",Guangdong University of Technology
"Cheng, Lianglun",Guangdong University of Technology
"Lin, Lieqing",Guangdong University of Technology
"Chen, Ruibin",Guangdong University of Technology
"Zhu, Yinting",Guangdong University of Technology
"Xie, Weijie",Guangdong University of Technology
"Jing, Huaiguo",Guangdong University of Technology
"Chen, Langcheng",Guangdong University of Technology
"Zou, Minqing",Guangdong University of Technology
"Xu, Jian",Guangdong University of Technology
"Liu, Bo",Guangdong University of Technology
"Xiao, Yanshan",Guangdong University of Technology
"Cao, Fan",Guangdong University of Technology
"He, Jinghui",Guangdong University of Technology
"Fan, Yuquan",Guangdong University of Technology
"Cao, Xianglin",Guangdong University of Technology
"Xiao, Hong",Guangdong University of Technology
"Zhou, Weilin",Guangdong University of Technology
"Jiang, Wenchao",Guangdong University of Technology
"Wang, Ying",Guangdong University of Technology
"Yan, Haopeng",Guangdong University of Technology
"Zhang, Yiwen",Guangdong University of Technology
"Gao, Peng",Guangdong University of Technology
"Yu, Fei",Guangdong University of Technology
"Xiong, Xiaoming",Guangdong University of Technology
"Cai, Shuting",Guangdong University of Technology
"Mo, Guiqi",Guangdong University of Technology
"Xia, Yimin",Guangdong University of Technology
"Ou, Jianhong",Guangdong University of Technology
"Cai, Shuting",Guangdong University of Technology
"Xiong, Xiaoming",Guangdong University of Technology
"Tang, Xiongmin",Guangdong University of Technology
"Jiang, Tianhong",Guangdong University of Technology
"Chen, Weizheng",Guangdong University of Technology
"Lin, ZhiHong",Guangdong University of Technology
"Zhou, Zexin",Guangdong University of Technology
"Yongquan, Chen",Guangdong University of Technology
"Zhang, Miao",Guangdong University of Technology
"Xing, Yan",Guangdong University of Technology
"Hu, Hongtao",Guangdong University of Technology
"Li, Weijun",Guangdong University of Technology
"Cai, Shuting",Guangdong University of Technology
"Xiong, Xiaoming",Guangdong University of Technology
"Wang, Chengyong",Guangdong University of Technology
"Tang, Zimin",Guangdong University of Technology
"Ding, Feng",Guangdong University of Technology
"Huang, Yu",Guangdong University of Technology
"Zhang, Tao",Guangdong University of Technology
"Zhneg, Lijuan",Guangdong University of Technology
"Zhu, Xuguang",Guangdong University of Technology
"Xia, Tiansheng",Guangdong University of Technology
"Yu, Chenxi",Guangdong University of Technology
"Pan, Xinyi",Guangdong University of Technology
"Chen, Yibing",Guangdong University of Technology
"Wu, Juhua",Guangdong University of Technology
"Chen, Wanqi",Guangdong University of Technology
"Tao, Lei",Guangdong University of Technology
"Liu, Qian",Guangdong University of Technology
"Wu, Zhichen",Guangdong University of Technology
"Zhang, Hongbin",Guangdong University of Technology
"Cheng, Lianglun",Guangdong University of Technology
"Wang, Tao",Guangdong University of Technology
"Chen, Chong",Guangdong University of Technology
"Wu, Zhenqiang",Guangdong University of Technology
"Wang, Luqi",Guangdong University of Technology
"Ye, Qizhi",Guangdong University of Technology
"Feng, Weimin",Guangdong University of Technology
"Park, Geuntae",Guangdong University of Technology
"Luo, Rui",Guangdong University of Technology
"Ou, Jinsai",Guangdong University of Technology
"Chen, Weixian",Guangdong University of Technology
"Wu, Yanping",Guangdong University of Technology
"Yan, Jiayi",Guangdong University of Technology
"Liu, Shiyu",Guangdong University of Technology
"Zhang, Danfeng",Guangdong University of Technology
"Yang, Ruhao",Guangdong University of Technology
"Wang, Yan",Guangdong University of Technology
"Zeng, Guoxun",Guangdong University of Technology
"Gu, Chenyan",Guangdong University of Technology
"Jia, Shuyue",Guangdong University of Technology
"Chang, Xinsiyu",Guangdong University of Technology
"Lai, Xiaoyu",Guangdong University of Technology
"Zhan, Weide",Guangdong University of Technology
"Yang, Baoyao",Guangdong University of Technology
"Fang, Zhixiang",Guangdong University of Technology
"Li, Dongzhe",Guangdong University of Technology
"Ma, Yali",Guangdong University of Technology
"Zhang, Yiqun",Guangdong University of Technology
"Jing, Yunpeng",Guangdong University of Technology
"Liu, Hai-Lin",Guangdong University of Technology
"Guo, Shaoshan",Guangdong University of Technology
"Huang, Yunqian",Guangdong University of Technology
"Mai, Kailan",Guangdong University of Technology
"Mo, Guopeng",Guangdong University of Technology
"Hu, JF",Guangdong University of Technology
"Fu, XF",Guangdong University of Technology
"Chen, PH",Guangdong University of Technology
"Liang, BY",Guangdong University of Technology
"Liang, WJ",Guangdong University of Technology
"Liang, WJ",Guangdong University of Technology
"Fu, XF",Guangdong University of Technology
"Li, Z",Guangdong University of Technology
"Xiao, R",Guangdong University of Technology
"Hu, JF",Guangdong University of Technology
"Chen, Hongyan",Guangdong University of Technology
"Liu, Hai-Lin",Guangdong University of Technology
"Gu, Fangqing",Guangdong University of Technology
"Chen, Lei",Guangdong University of Technology
"Qiu, Jiasheng",Guangdong University of Technology
"Lin, Lieqing",Guangdong University of Technology
"Zhong, Qi",Guangdong University of Technology
"Liang, Zhenyu",Guangdong University of Technology
"Lai, Xiaoyu",Guangdong University of Technology
"Xie, Jianhong",Guangdong University of Technology
"Liang, Lu",Guangdong University of Technology
"Gu, Aiyu",Guangdong University of Technology
"Sun, Weijie",Guangdong University of Technology
"Zhang, Guidong",Guangdong University of Technology
"Chen, Sizhe",Guangdong University of Technology
"Wang, Yu",Guangdong University of Technology
"Yang, Ling",Guangdong University of Technology
"Zhang, Yun",Guangdong University of Technology
"Jing, Yunpeng",Guangdong University of Technology
"Liu, Hai-Lin",Guangdong University of Technology
"Wang, Luqi",Guangdong University of Technology
"Li, Jinrui",Guangdong University of Technology
"Chen, Yuan",Guangdong University of Technology
"Chen, Dongwei",Guangdong University of Technology
"Ye, Qihao",Guangdong University of Technology
"Wang, Zhuowei",Guangdong University of Technology
"Zhong, Wuchang",Guangdong University of Technology
"Huang, Jinglin",Guangdong University of Technology
"Yu, Rong",Guangdong University of Technology
"Yuan, Jiawei",Guangdong University of Technology
"Ni, Haomin",Guangdong University of Technology
"Huang, Guoheng",Guangdong University of Technology
"Cheng, Lianglun",Guangdong University of Technology
"Zhou, Donghao",Guangdong University of Technology
"Wang, Tao",Guangdong University of Technology
"Zhao, Feng",Guangdong University of Technology
"Li, DP",Guangdong University of Technology
"Yu, YQ",Guangdong University of Technology
"Zhang, W",Guangdong University of Technology
"Teng, SH",Guangdong University of Technology
"Li, ZK",Guangdong University of Technology
"Fu, XF",Guangdong University of Technology
"Wang, L",Guangdong University of Technology
"Diao, Yifeng",Guangdong University of Technology
"Huang, Shufeng",Guangdong University of Technology
"Huang, Linqing",Guangdong University of Technology
"Xiong, Xiaoming",Guangdong University of Technology
"Yang, Jian",Guangdong University of Technology
"Cai, Shuting",Guangdong University of Technology
"Huang, Yongwei",Guangdong University of Technology
"Liang, Jiachao",Guangdong University of Technology
"Xia, Tiansheng",Guangdong University of Technology
"Yan, Yingqi",Guangdong University of Technology
"Guo, Jiayue",Guangdong University of Technology
"Li, Yanzhou",Guangdong University of Technology
"Wu, Yuanqing",Guangdong University of Technology
"Ye, Yanyan",Guangdong University of Technology
"Lu, Yongkang",Guangdong University of Technology
"Mai, Eryuan",Guangdong University of Technology
"Hu, Dahua",Guangdong University of Technology
"Li, Jiaming",Guangdong University of Technology
"Yang, Zhuo",Guangdong University of Technology
"Zuo, Yayao",Guangdong University of Technology
"Zhou, Yang",Guangdong University of Technology
"Yi, Biao",Guangdong University of Technology
"Zhan, Minghao",Guangdong University of Technology
"Chen, Kun",Guangdong University of Technology
"Xie, Jianhe",Guangdong University of Technology
"Cao, Fan",Guangdong University of Technology
"Liu, Bo",Guangdong University of Technology
"He, Jinghui",Guangdong University of Technology
"Xu, Jian",Guangdong University of Technology
"Xiao, Yanshan",Guangdong University of Technology
"Zuo, Yayao",Guangdong University of Technology
"Zhan, Minghao",Guangdong University of Technology
"Zhou, Yang",Guangdong University of Technology
"Zhan, Peilin",Guangdong University of Technology
"Zuo, Yayao",Guangdong University of Technology
