author_id,school_id
"Zhou, Fuhai",自动化学院
"Xiang, Weixian",自动化学院
"Huang, Rongrui",自动化学院
"Zhang, Bin",自动化学院
"Li, Xingsen",未知学院
"Pi, Haibin",未知学院
"Sun, Junwen",未知学院
"Zhang, Hao Lan",未知学院
"Liang, Zhencheng",未知学院
"Liu, Bo",Dept Automat
"Liu, Zhijing",Dept Automat
"Xiao, Yanshan",Dept Automat
"Wang, Jinguang",艺术与设计学院
"Tang, Mincong",艺术与设计学院
"Wang, Hao",艺术与设计学院
"Lin, Jingui",自动化学院
"Liang, Shiyan",自动化学院
"Lin, Wenxiong",自动化学院
"Gao, Peng",自动化学院
"Xing, Yan",自动化学院
"Wu, Tingting",自动化学院
"Xiong, Xiaoming",自动化学院
"Cai, Shuting",自动化学院
"Ruan, Haoxian",Informat Engn
"Xu, Zhihua",Informat Engn
"Yang, Zhijing",Informat Engn
"Lu, Yongyi",Informat Engn
"Qin, Jinghui",Informat Engn
"Chen, Tianshui",Informat Engn
"Liu, Wentao",机电工程学院
"Lu, Jiabin",机电工程学院
"Xiong, Qiang",机电工程学院
"Wang, Xinhan",机电工程学院
"Yan, Qiusheng",机电工程学院
"Li, Zhenhua",Guagnzhou
"Liu, Hai-Lin",Guagnzhou
"Wang, Xiaoman",计算机学院
"Huang, Wei",计算机学院
"He, Chunhua",计算机学院
"Wu, Heng",计算机学院
"Lin, Jing",计算机学院
"Cheng, Lianglun",计算机学院
"Lin, Lieqing",计算机学院
"Chen, Ruibin",计算机学院
"Zhu, Yinting",计算机学院
"Xie, Weijie",计算机学院
"Jing, Huaiguo",计算机学院
"Chen, Langcheng",计算机学院
"Zou, Minqing",计算机学院
"Xu, Jian",自动化学院
"Liu, Bo",自动化学院
"Xiao, Yanshan",自动化学院
"Cao, Fan",自动化学院
"He, Jinghui",自动化学院
"Fan, Yuquan",计算机学院
"Cao, Xianglin",计算机学院
"Xiao, Hong",计算机学院
"Zhou, Weilin",计算机学院
"Jiang, Wenchao",计算机学院
"Wang, Ying",集成电路学院
"Yan, Haopeng",集成电路学院
"Zhang, Yiwen",集成电路学院
"Gao, Peng",集成电路学院
"Yu, Fei",集成电路学院
"Xiong, Xiaoming",集成电路学院
"Cai, Shuting",集成电路学院
"Mo, Guiqi",自动化学院
"Xia, Yimin",自动化学院
"Ou, Jianhong",自动化学院
"Cai, Shuting",自动化学院
"Xiong, Xiaoming",自动化学院
"Tang, Xiongmin",Univ Town Campus
"Jiang, Tianhong",Univ Town Campus
"Chen, Weizheng",Univ Town Campus
"Lin, ZhiHong",Univ Town Campus
"Zhou, Zexin",Univ Town Campus
"Yongquan, Chen",Univ Town Campus
"Zhang, Miao",Univ Town Campus
"Xing, Yan",集成电路学院
"Hu, Hongtao",集成电路学院
"Li, Weijun",集成电路学院
"Cai, Shuting",集成电路学院
"Xiong, Xiaoming",集成电路学院
"Wang, Chengyong",机电工程学院
"Tang, Zimin",机电工程学院
"Ding, Feng",机电工程学院
"Huang, Yu",机电工程学院
"Zhang, Tao",机电工程学院
"Zhneg, Lijuan",机电工程学院
"Zhu, Xuguang",机电工程学院
"Xia, Tiansheng",未知学院
"Yu, Chenxi",未知学院
"Pan, Xinyi",未知学院
"Chen, Yibing",未知学院
"Wu, Juhua",未知学院
"Chen, Wanqi",未知学院
"Tao, Lei",未知学院
"Liu, Qian",未知学院
"Wu, Zhichen",未知学院
"Zhang, Hongbin",未知学院
"Cheng, Lianglun",未知学院
"Wang, Tao",未知学院
"Chen, Chong",未知学院
"Wu, Zhenqiang",未知学院
"Wang, Luqi",未知学院
"Ye, Qizhi",未知学院
"Feng, Weimin",未知学院
"Park, Geuntae",未知学院
"Luo, Rui",未知学院
"Ou, Jinsai",未知学院
"Chen, Weixian",未知学院
"Wu, Yanping",未知学院
"Yan, Jiayi",未知学院
"Liu, Shiyu",未知学院
"Zhang, Danfeng",计算机学院
"Yang, Ruhao",计算机学院
"Wang, Yan",计算机学院
"Zeng, Guoxun",计算机学院
"Gu, Chenyan",Guangdong
"Jia, Shuyue",Guangdong
"Chang, Xinsiyu",Guangdong
"Lai, Xiaoyu",未知学院
"Zhan, Weide",未知学院
"Yang, Baoyao",未知学院
"Fang, Zhixiang",未知学院
"Li, Dongzhe",未知学院
"Ma, Yali",未知学院
"Zhang, Yiqun",未知学院
"Jing, Yunpeng",未知学院
"Liu, Hai-Lin",未知学院
"Guo, Shaoshan",Guangdong
"Huang, Yunqian",Guangdong
"Mai, Kailan",Guangdong
"Mo, Guopeng",Guangdong
"Hu, JF",未知学院
"Fu, XF",未知学院
"Chen, PH",未知学院
"Liang, BY",未知学院
"Liang, WJ",未知学院
"Liang, WJ",未知学院
"Fu, XF",未知学院
"Li, Z",未知学院
"Xiao, R",未知学院
"Hu, JF",未知学院
"Chen, Hongyan",未知学院
"Liu, Hai-Lin",未知学院
"Gu, Fangqing",未知学院
"Chen, Lei",未知学院
"Qiu, Jiasheng",未知学院
"Lin, Lieqing",未知学院
"Zhong, Qi",未知学院
"Liang, Zhenyu",未知学院
"Lai, Xiaoyu",未知学院
"Xie, Jianhong",未知学院
"Liang, Lu",未知学院
"Gu, Aiyu",未知学院
"Sun, Weijie",未知学院
"Zhang, Guidong",未知学院
"Chen, Sizhe",未知学院
"Wang, Yu",未知学院
"Yang, Ling",未知学院
"Zhang, Yun",未知学院
"Jing, Yunpeng",未知学院
"Liu, Hai-Lin",未知学院
"Wang, Luqi",未知学院
"Li, Jinrui",未知学院
"Chen, Yuan",未知学院
"Chen, Dongwei",未知学院
"Ye, Qihao",未知学院
"Wang, Zhuowei",未知学院
"Zhong, Wuchang",未知学院
"Huang, Jinglin",未知学院
"Yu, Rong",未知学院
"Yuan, Jiawei",未知学院
"Ni, Haomin",未知学院
"Huang, Guoheng",未知学院
"Cheng, Lianglun",未知学院
"Zhou, Donghao",未知学院
"Wang, Tao",未知学院
"Zhao, Feng",未知学院
"Li, DP",未知学院
"Yu, YQ",未知学院
"Zhang, W",未知学院
"Teng, SH",未知学院
"Li, ZK",未知学院
"Fu, XF",未知学院
"Wang, L",未知学院
"Diao, Yifeng",集成电路学院
"Huang, Shufeng",集成电路学院
"Huang, Linqing",集成电路学院
"Xiong, Xiaoming",集成电路学院
"Yang, Jian",集成电路学院
"Cai, Shuting",集成电路学院
"Huang, Yongwei",未知学院
"Liang, Jiachao",未知学院
"Xia, Tiansheng",未知学院
"Yan, Yingqi",未知学院
"Guo, Jiayue",未知学院
"Li, Yanzhou",未知学院
"Wu, Yuanqing",未知学院
"Ye, Yanyan",未知学院
"Lu, Yongkang",未知学院
"Mai, Eryuan",未知学院
"Hu, Dahua",未知学院
"Li, Jiaming",未知学院
"Yang, Zhuo",未知学院
"Zuo, Yayao",未知学院
"Zhou, Yang",未知学院
"Yi, Biao",未知学院
"Zhan, Minghao",未知学院
"Chen, Kun",未知学院
"Xie, Jianhe",未知学院
"Cao, Fan",计算机学院
"Liu, Bo",计算机学院
"He, Jinghui",计算机学院
"Xu, Jian",计算机学院
"Xiao, Yanshan",计算机学院
"Zuo, Yayao",未知学院
"Zhan, Minghao",未知学院
"Zhou, Yang",未知学院
"Zhan, Peilin",未知学院
"Zuo, Yayao",未知学院
"Zhou, Yang",未知学院
"Liu, Zhengwei",未知学院
"Wu, Jiayang",未知学院
"Zhan, Minghao",未知学院
"Zhang, Yiming",未知学院
"Zhang, Depeng",未知学院
"Li, Zhongxiang",未知学院
"Ma, Jiaxin",未知学院
"Tang, Xiaoying",未知学院
"Zhong, Qiao",未知学院
"Zheng, Xiuhui",未知学院
"Zhu, Yihang",未知学院
"Li, Peijie",未知学院
"Du, Qintao",未知学院
"Fan, Yiliang",未知学院
"Huang, Yijie",未知学院
"Liang, Xin",未知学院
"Zhang, Weile",未知学院
"Xie, Yaqi",未知学院
"Wang, Hao",未知学院
"Luo, Chaoquan",未知学院
"Yang, Zhuo",未知学院
"Zhan, Yinwei",未知学院
"Tang, Zimin",未知学院
"Huang, Xin",未知学院
"Wang, Chengyong",未知学院
"Liao, Bingmiao",未知学院
