author_a,author_b,paper_id
"Huang, Rongrui","Xiang, Weixian",WOS:001588882900135
"Huang, Rongrui","Zhang, Bin",WOS:001588882900135
"Huang, Rongrui","Zhou, Fuhai",WOS:001588882900135
"Xiang, Weixian","Zhang, Bin",WOS:001588882900135
"Xiang, Weixian","Zhou, Fuhai",WOS:001588882900135
"Zhang, Bin","Zhou, Fuhai",WOS:001588882900135
"Li, Xingsen","Liang, Zhencheng",WOS:001145451300008
"Li, Xingsen","Pi, Haibin",WOS:001145451300008
"Li, Xingsen","Sun, Junwen",WOS:001145451300008
"Li, Xingsen","Zhang, Hao Lan",WOS:001145451300008
"Liang, Zhencheng","Pi, Haibin",WOS:001145451300008
"Liang, Zhencheng","Sun, Junwen",WOS:001145451300008
"Liang, Zhencheng","Zhang, Hao Lan",WOS:001145451300008
"Pi, Haibin","Sun, Junwen",WOS:001145451300008
"Pi, Haibin","Zhang, Hao Lan",WOS:001145451300008
"Sun, Junwen","Zhang, Hao Lan",WOS:001145451300008
"Liu, Bo","Liu, Zhijing",WOS:000640158400004
"Liu, Bo","Xiao, Yanshan",WOS:000640158400004
"Liu, Zhijing","Xiao, Yanshan",WOS:000640158400004
"Tang, Mincong","Wang, Hao",WOS:000765802100121
"Tang, Mincong","Wang, Jinguang",WOS:000765802100121
"Wang, Hao","Wang, Jinguang",WOS:000765802100121
"Cai, Shuting","Gao, Peng",WOS:001553607200013
"Cai, Shuting","Liang, Shiyan",WOS:001553607200013
"Cai, Shuting","Lin, Jingui",WOS:001553607200013
"Cai, Shuting","Lin, Wenxiong",WOS:001553607200013
"Cai, Shuting","Wu, Tingting",WOS:001553607200013
"Cai, Shuting","Xing, Yan",WOS:001553607200013
"Cai, Shuting","Xiong, Xiaoming",WOS:001553607200013
"Gao, Peng","Liang, Shiyan",WOS:001553607200013
"Gao, Peng","Lin, Jingui",WOS:001553607200013
"Gao, Peng","Lin, Wenxiong",WOS:001553607200013
"Gao, Peng","Wu, Tingting",WOS:001553607200013
"Gao, Peng","Xing, Yan",WOS:001553607200013
"Gao, Peng","Xiong, Xiaoming",WOS:001553607200013
"Liang, Shiyan","Lin, Jingui",WOS:001553607200013
"Liang, Shiyan","Lin, Wenxiong",WOS:001553607200013
"Liang, Shiyan","Wu, Tingting",WOS:001553607200013
"Liang, Shiyan","Xing, Yan",WOS:001553607200013
"Liang, Shiyan","Xiong, Xiaoming",WOS:001553607200013
"Lin, Jingui","Lin, Wenxiong",WOS:001553607200013
"Lin, Jingui","Wu, Tingting",WOS:001553607200013
"Lin, Jingui","Xing, Yan",WOS:001553607200013
"Lin, Jingui","Xiong, Xiaoming",WOS:001553607200013
"Lin, Wenxiong","Wu, Tingting",WOS:001553607200013
"Lin, Wenxiong","Xing, Yan",WOS:001553607200013
"Lin, Wenxiong","Xiong, Xiaoming",WOS:001553607200013
"Wu, Tingting","Xing, Yan",WOS:001553607200013
"Wu, Tingting","Xiong, Xiaoming",WOS:001553607200013
"Xing, Yan","Xiong, Xiaoming",WOS:001553607200013
"Chen, Tianshui","Lu, Yongyi",WOS:001459172500001
"Chen, Tianshui","Qin, Jinghui",WOS:001459172500001
"Chen, Tianshui","Ruan, Haoxian",WOS:001459172500001
"Chen, Tianshui","Xu, Zhihua",WOS:001459172500001
"Chen, Tianshui","Yang, Zhijing",WOS:001459172500001
"Lu, Yongyi","Qin, Jinghui",WOS:001459172500001
"Lu, Yongyi","Ruan, Haoxian",WOS:001459172500001
"Lu, Yongyi","Xu, Zhihua",WOS:001459172500001
"Lu, Yongyi","Yang, Zhijing",WOS:001459172500001
"Qin, Jinghui","Ruan, Haoxian",WOS:001459172500001
"Qin, Jinghui","Xu, Zhihua",WOS:001459172500001
"Qin, Jinghui","Yang, Zhijing",WOS:001459172500001
"Ruan, Haoxian","Xu, Zhihua",WOS:001459172500001
"Ruan, Haoxian","Yang, Zhijing",WOS:001459172500001
"Xu, Zhihua","Yang, Zhijing",WOS:001459172500001
"Liu, Wentao","Lu, Jiabin",WOS:001134688700001
"Liu, Wentao","Wang, Xinhan",WOS:001134688700001
"Liu, Wentao","Xiong, Qiang",WOS:001134688700001
"Liu, Wentao","Yan, Qiusheng",WOS:001134688700001
"Lu, Jiabin","Wang, Xinhan",WOS:001134688700001
"Lu, Jiabin","Xiong, Qiang",WOS:001134688700001
"Lu, Jiabin","Yan, Qiusheng",WOS:001134688700001
"Wang, Xinhan","Xiong, Qiang",WOS:001134688700001
"Wang, Xinhan","Yan, Qiusheng",WOS:001134688700001
"Xiong, Qiang","Yan, Qiusheng",WOS:001134688700001
"Li, Zhenhua","Liu, Hai-Lin",WOS:000351908500001
"Cheng, Lianglun","He, Chunhua",WOS:001219652600073
"Cheng, Lianglun","Huang, Wei",WOS:001219652600073
"Cheng, Lianglun","Lin, Jing",WOS:001219652600073
