paper_id,keyword_id
WOS:001588882900135,offshore wind power forecasting
WOS:001588882900135,lstm
WOS:001588882900135,time series decomposition
WOS:001588882900135,time-frequency domain fusion
WOS:001588882900135,channel clustering
WOS:001145451300008,basic -element theory
WOS:001145451300008,big data
WOS:001145451300008,brainstorming method
WOS:001145451300008,extenics
WOS:001145451300008,extension innovation method
WOS:001145451300008,human-computer interaction
WOS:001145451300008,problem solving
WOS:000640158400004,positive and unlabeled learning
WOS:000640158400004,dictionary learning
WOS:000765802100121,extenics
WOS:000765802100121,the first creating method
WOS:000765802100121,intelligent recycling system
WOS:000765802100121,cosmetics
WOS:001553607200013,vlsi
WOS:001553607200013,drc hotspot prediction
WOS:001553607200013,convolutional neural network
WOS:001553607200013,graph neural network
WOS:001459172500001,multi-label recognition
WOS:001459172500001,partial labels
WOS:001459172500001,vision-language model
WOS:001134688700001,uv-catalysis
WOS:001134688700001,polishing disc materials
WOS:001134688700001,single crystal diamond
WOS:001134688700001,friction and wear experiments
WOS:001134688700001,chemical mechanical polishing
WOS:000351908500001,pareto front
WOS:000351908500001,desirability function
WOS:000351908500001,pareto solution
WOS:000351908500001,volutionary multi-objective optimization algorithm
WOS:000351908500001,preference
WOS:001219652600073,brain-computer interface
WOS:001219652600073,electroencephalography (eeg) acquisition circuit
WOS:001219652600073,eeg signal
WOS:001219652600073,reliability
WOS:001219652600073,temperature stability
WOS:000922273500001,lncrna-long noncoding rna
WOS:000922273500001,disease
WOS:000922273500001,similarity correction
WOS:000922273500001,constraint probability matrix decomposition
WOS:000922273500001,associations prediction
WOS:001245984800001,cloth -changing person re -identification multi
WOS:001245984800001,task learning
WOS:001245984800001,meta learning tensor feature
WOS:001245984800001,relation network
WOS:000924286200018,ernie
WOS:000924286200018,incremental pre-training
WOS:000924286200018,knowledge graph
WOS:000924286200018,loan
WOS:000924286200018,question answering platform
WOS:000924286200018,semantic matching training
WOS:000924286200018,token-level random mask
WOS:000924286200018,word-level fixed mask
WOS:001553607200003,hotspot detection
WOS:001553607200003,machine learning
WOS:001553607200003,capsule network
WOS:001392737100014,integrated circuit
WOS:001392737100014,layout congestion
WOS:001392737100014,deep learning
WOS:001392737100014,regression vision
WOS:001392737100014,transformer
WOS:001392737100014,double generated adversarial network
WOS:000864560200001,dielectric barrier discharge
WOS:000864560200001,full-bridge inverter
WOS:000864560200001,pulse power supply
WOS:000864560200001,voltage excitation
WOS:000864560200001,soft switching
WOS:001555043400003,wire delay
WOS:001555043400003,cell delay
WOS:001555043400003,wire length
WOS:001555043400003,multi-task learning
WOS:001555043400003,graph convolu-tional network
WOS:001179575800015,zr-based bmgs
WOS:001179575800015,plasma electrolytic polishing
WOS:001179575800015,surface quality
WOS:001179575800015,process optimization
WOS:001179575800015,waste liquor treatment
WOS:001218940500002,online healthcare community
WOS:001218940500002,behaviour intention
WOS:001218940500002,elaboration likelihood model
WOS:001218940500002,service quality
WOS:001218940500002,online reviews
WOS:001307366100016,event extraction
WOS:001307366100016,event ontology
WOS:001307366100016,hierarchy-gcn
WOS:000806728800015,stock selection
WOS:000806728800015,support vector regression(svr)
WOS:000806728800015,correlation analysis
WOS:000806728800015,sliding window
WOS:001164752800001,ti3c2t (x)
WOS:001164752800001,cofe2o4 nanosheets
WOS:001164752800001,insitu verticalgrowth
WOS:001164752800001,heterostructure
WOS:001164752800001,microwave absorption
WOS:001361003100001,promotion preannouncements
WOS:001361003100001,brand
WOS:001361003100001,spillover effects
WOS:001361003100001,purchase intention
WOS:001735030600021,data heterogeneity
WOS:001735030600021,degraded clustering
WOS:001735030600021,cascaded optimization
WOS:001539410900036,performance analysis
WOS:001539410900036,benchmarking
WOS:001539410900036,meta-benchmarking
WOS:001539410900036,paradox analysis
WOS:001539410900036,evolutionary computation
WOS:001450945000023,neural processing unit
WOS:001450945000023,fpga
WOS:001450945000023,simd architecture
WOS:001450945000023,neural network inference
WOS:000230443400195,erp
WOS:000230443400195,cooperation
WOS:000230443400195,instant messaging
WOS:000230443400125,software testing
WOS:000230443400125,cscw
WOS:000230443400125,erp
WOS:000717279200051,many-objective optimization
WOS:000717279200051,multiple linear regression
WOS:000717279200051,decomposition
WOS:001711528900007,graph neural networks
WOS:001711528900007,backdoor attacks
WOS:001711528900007,node injection
WOS:001711528900007,security
WOS:001711528900007,machine learning
WOS:001155034200015,domain adaptation
WOS:001155034200015,domain shift
WOS:001155034200015,distribution alignment
WOS:000522614200001,push-pull
WOS:000522614200001,reduced switches
WOS:000522614200001,step-up
WOS:001782084100001,bilevel optimization
WOS:001782084100001,benchmarking
WOS:001782084100001,evolutionary algorithm
WOS:001782084100001,variable separability
WOS:001723761700001,prefabricated construction
WOS:001723761700001,supply chain
WOS:001723761700001,resilience
WOS:001723761700001,multi-objective artificial electric field algorithm
WOS:001723761700001,optimization
WOS:001723761700001,carbon emission
WOS:001755001100004,multi-modality image registration
WOS:001755001100004,modality translation
WOS:001755001100004,image fusion
WOS:001755001100004,frequency-aware
WOS:001755001100004,geometric structure-guided
WOS:001228341300042,large models
WOS:001228341300042,fine-tuning
WOS:001228341300042,visualglm-6b
WOS:001228341300042,case-based reasoning
WOS:001228341300042,risk scene
WOS:000718073200002,uniform search
WOS:000718073200002,grid search
WOS:000718073200002,dynamic
WOS:000718073200002,multiobjective optimization
WOS:000718073200002,evolutionary algorithm
WOS:000683376600005,deep learning
WOS:000683376600005,iris detection
WOS:000683376600005,multi-task cascaded convolutional networks
WOS:000683376600005,fully convolutional networks
WOS:000683376600005,hough transform
WOS:000230443400189,agents
WOS:000230443400189,multi-agent systems
WOS:000230443400189,intrusion detection
WOS:001321312200001,memristive chaotic system
WOS:001321312200001,multi-butterfly attractor
WOS:001321312200001,chaotic synchronization
WOS:001321312200001,numerical simulation verification
WOS:001396233802018,dual-functional radar and communication
WOS:001396233802018,transmit and receive beamvectors
WOS:001396233802018,joint robust optimal design
WOS:001396233802018,mi-mo radar
WOS:001396233802018,secondary multicast downlink transmission
WOS:001123481900004,hue contrast
WOS:001123481900004,web satisfaction
WOS:001123481900004,ad memory
WOS:001123481900004,attention intrusion
WOS:001123481900004,eye tracking
WOS:001146369800083,scoliosis training
WOS:001146369800083,wearable device
WOS:001146369800083,imu
WOS:000899329500008,knowledge graph
WOS:000899329500008,graph convolutional neural network
WOS:000899329500008,link prediction
WOS:000899329500008,attribute activation
WOS:000899329500008,node attribute characteristics
WOS:001296848000001,federated learning
WOS:001296848000001,uncertain data
WOS:001296848000001,privacy protection
WOS:000871882800021,knowledge graph
WOS:000871882800021,entity alignment
WOS:000871882800021,graph convolutional neural network
