paper_id,journal_id
WOS:001588882900135,"2025 40TH YOUTH ACADEMIC ANNUAL CONFERENCE OF CHINESE ASSOCIATION OF AUTOMATION, YAC"
WOS:001145451300008,INTERNATIONAL JOURNAL OF DATA WAREHOUSING AND MINING
WOS:000640158400004,APPLIED INTELLIGENCE
WOS:000765802100121,8TH INTERNATIONAL CONFERENCE ON INFORMATION TECHNOLOGY AND QUANTITATIVE MANAGEMENT (ITQM 2020 & 2021): DEVELOPING GLOBAL DIGITAL ECONOMY AFTER COVID-19
WOS:001553607200013,ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS
WOS:001459172500001,ACM TRANSACTIONS ON MULTIMEDIA COMPUTING COMMUNICATIONS AND APPLICATIONS
WOS:001134688700001,DIAMOND AND RELATED MATERIALS
WOS:000351908500001,INTELLIGENT AUTOMATION AND SOFT COMPUTING
WOS:001219652600073,IEEE SENSORS JOURNAL
WOS:000922273500001,FRONTIERS IN MICROBIOLOGY
WOS:001245984800001,IMAGE AND VISION COMPUTING
WOS:000924286200018,INTERNATIONAL JOURNAL OF SOFTWARE SCIENCE AND COMPUTATIONAL INTELLIGENCE-IJSSCI
WOS:001553607200003,ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS
WOS:001392737100014,ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS
WOS:000864560200001,CIRCUIT WORLD
WOS:001555043400003,ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS
WOS:001179575800015,CHINA SURFACE ENGINEERING
WOS:001782754100001,HUMANITIES & SOCIAL SCIENCES COMMUNICATIONS
WOS:001218940500002,JOURNAL OF INFORMATION & KNOWLEDGE MANAGEMENT
WOS:001307366100016,"ADVANCED INTELLIGENT COMPUTING TECHNOLOGY AND APPLICATIONS, PT I, ICIC 2024"
WOS:000943603000025,CARBON PEAK AND NEUTRALITY STRATEGIES OF THE CONSTRUCTION INDUSTRY (ICCREM 2022)
WOS:000706215500015,MUSEUM WORLDS
WOS:000806728800015,PROCEEDINGS OF 2021 INTERNATIONAL CONFERENCE ON WAVELET ANALYSIS AND PATTERN RECOGNITION (ICWAPR)
WOS:001164752800001,ACS APPLIED NANO MATERIALS
WOS:001361003100001,ASIA PACIFIC JOURNAL OF MARKETING AND LOGISTICS
WOS:000525770900041,INTERNATIONAL JOURNAL OF COMMUNICATION
WOS:001735030600021,"PATTERN RECOGNITION AND COMPUTER VISION, PRCV 2025, PT IX"
WOS:001539410900036,"2025 IEEE CONGRESS ON EVOLUTIONARY COMPUTATION, CEC"
WOS:001450945000023,"2024 6TH INTERNATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE AND COMPUTER APPLICATIONS, ICAICA"
WOS:000230443400195,"PROCEEDINGS OF THE NINTH INTERNATIONAL CONFERENCE ON COMPUTER SUPPORTED COOPERATIVE WORK IN DESIGN, VOLS 1 AND 2"
WOS:000230443400125,"PROCEEDINGS OF THE NINTH INTERNATIONAL CONFERENCE ON COMPUTER SUPPORTED COOPERATIVE WORK IN DESIGN, VOLS 1 AND 2"
WOS:000717279200051,2021 13TH INTERNATIONAL CONFERENCE ON ADVANCED COMPUTATIONAL INTELLIGENCE (ICACI)
WOS:001711528900007,"2025 IEEE 24TH INTERNATIONAL CONFERENCE ON TRUST, SECURITY AND PRIVACY IN COMPUTING AND COMMUNICATIONS, TRUSTCOM"
WOS:001226258200076,INTERNATIONAL JOURNAL OF COMMUNICATION
WOS:001155034200015,"PATTERN RECOGNITION AND COMPUTER VISION, PRCV 2023, PT IV"
WOS:000522614200001,JOURNAL OF POWER ELECTRONICS
WOS:001782084100001,MEMETIC COMPUTING
WOS:001723761700001,ENGINEERING CONSTRUCTION AND ARCHITECTURAL MANAGEMENT
WOS:001755001100004,"MULTIMEDIA MODELING, MMM 2026, PT II"
WOS:001228341300042,"2023 IEEE INTERNATIONAL CONFERENCES ON INTERNET OF THINGS, ITHINGS IEEE GREEN COMPUTING AND COMMUNICATIONS, GREENCOM IEEE CYBER, PHYSICAL AND SOCIAL COMPUTING, CPSCOM IEEE SMART DATA, SMARTDATA AND IEEE CONGRESS ON CYBERMATICS,CYBERMATICS"
WOS:000718073200002,MEMETIC COMPUTING
WOS:000683376600005,SSPS 2020: 2020 2ND SYMPOSIUM ON SIGNAL PROCESSING SYSTEMS
WOS:000234402600028,"2005 International Conference on Intelligent Sensing and Information Processing, Proceedings"
WOS:000230443400189,"PROCEEDINGS OF THE NINTH INTERNATIONAL CONFERENCE ON COMPUTER SUPPORTED COOPERATIVE WORK IN DESIGN, VOLS 1 AND 2"
WOS:001321312200001,CHAOS SOLITONS & FRACTALS
WOS:001396233802018,"2024 IEEE INTERNATIONAL CONFERENCE ON ACOUSTICS, SPEECH AND SIGNAL PROCESSING (ICASSP 2024)"
WOS:001123481900004,CURRENT PSYCHOLOGY
WOS:001047266300001,JOURNAL OF THE FRANKLIN INSTITUTE
WOS:001146369800083,"PROCEEDINGS OF THE 24TH INTERNATIONAL ACM SIGACCESS CONFERENCE ON COMPUTERS AND ACCESSIBILITY, ASSETS 2022"
WOS:000899329500008,"PRICAI 2022: TRENDS IN ARTIFICIAL INTELLIGENCE, PT II"
WOS:001458378500010,"ADVANCES IN FRONTIER RESEARCH ON ENGINEERING STRUCTURES, VOL 1, ICCASE 2022"
WOS:001296848000001,INFORMATION SCIENCES
WOS:000871882800021,CONCEPTUAL MODELING (ER 2022)
WOS:000899329500010,"PRICAI 2022: TRENDS IN ARTIFICIAL INTELLIGENCE, PT II"
WOS:000672824900010,2020 16TH INTERNATIONAL CONFERENCE ON COMPUTATIONAL INTELLIGENCE AND SECURITY (CIS 2020)
WOS:001071004300001,ASIA PACIFIC JOURNAL OF MARKETING AND LOGISTICS
WOS:001182063600020,"2023 11TH INTERNATIONAL SYMPOSIUM OF CHINESE CHI, CHINESE CHI2023"
WOS:001776633100160,"2023 IEEE 6TH INTERNATIONAL CONFERENCE ON AUTOMATION, ELECTRONICS AND ELECTRICAL ENGINEERING, AUTEEE"
WOS:000702123600012,PROCEEDINGS OF 2020 INTERNATIONAL CONFERENCE ON WAVELET ANALYSIS AND PATTERN RECOGNITION (ICWAPR)
WOS:001180908700100,"23RD INTERNATIONAL ACM SIGACCESS CONFERENCE ON COMPUTERS AND ACCESSIBILITY, ASSETS 2021"
WOS:000516268200005,INTERNATIONAL JOURNAL OF ADVANCED MANUFACTURING TECHNOLOGY
WOS:000557886100073,2019 15TH INTERNATIONAL CONFERENCE ON COMPUTATIONAL INTELLIGENCE AND SECURITY (CIS 2019)
WOS:000621599306019,PROCEEDINGS OF THE 38TH CHINESE CONTROL CONFERENCE (CCC)
WOS:000240859900129,"2006 1ST INTERNATIONAL SYMPOSIUM ON PERVASIVE COMPUTING AND APPLICATIONS, PROCEEDINGS"
WOS:001553760300001,CORPORATE REPUTATION REVIEW
WOS:001342233800042,"MEDICAL IMAGE COMPUTING AND COMPUTER ASSISTED INTERVENTION - MICCAI 2024, PT VIII"
WOS:000674596100001,MOBILE INFORMATION SYSTEMS
WOS:001155048200036,"PATTERN RECOGNITION AND COMPUTER VISION, PRCV 2023, PT VII"
WOS:000787768500047,"PARALLEL AND DISTRIBUTED COMPUTING, APPLICATIONS AND TECHNOLOGIES, PDCAT 2021"
WOS:000515209100002,MICRON
WOS:001489645900029,JOURNAL OF APPLIED REMOTE SENSING
WOS:001021668003047,"WITH DESIGN: REINVENTING DESIGN MODES, IASDR 2021"
WOS:000867070907078,2022 INTERNATIONAL JOINT CONFERENCE ON NEURAL NETWORKS (IJCNN)
WOS:000574944400006,KNOWLEDGE-BASED SYSTEMS
WOS:001196002900141,"29TH ASIA AND SOUTH PACIFIC DESIGN AUTOMATION CONFERENCE, ASP-DAC 2024"
WOS:000521049700001,CIRCUIT WORLD
WOS:000250405600153,"PROCEEDINGS OF THE 2007 11TH INTERNATIONAL CONFERENCE ON COMPUTER SUPPORTED COOPERATIVE WORK IN DESIGN, VOLS 1 AND 2"
WOS:001568983600040,"ADVANCED INTELLIGENT COMPUTING TECHNOLOGY AND APPLICATIONS, ICIC 2025, PT XVI"
WOS:001454974300154,"2024 9TH INTERNATIONAL CONFERENCE ON INTELLIGENT COMPUTING AND SIGNAL PROCESSING, ICSP"
WOS:001295192800023,"KNOWLEDGE SCIENCE, ENGINEERING AND MANAGEMENT, PT IV, KSEM 2023"
WOS:000728141500015,2021 6TH IEEE INTERNATIONAL CONFERENCE ON ADVANCED ROBOTICS AND MECHATRONICS (ICARM 2021)
WOS:001308319900011,"ADVANCES IN SWARM INTELLIGENCE, PT II, ICSI 2024"
WOS:001282078400052,"PROCEEDINGS OF THE 4TH ANNUAL ACM INTERNATIONAL CONFERENCE ON MULTIMEDIA RETRIEVAL, ICMR 2024"
WOS:000519114300017,PROCEEDINGS OF CHINESE CHI 2019: SEVENTH INTERNATIONAL SYMPOSIUM OF CHINESE CHI (CHINESE CHI 2019)
WOS:000250480200075,PROCEEDINGS OF THE FOURTH INTERNATIONAL CONFERENCE ON IMAGE AND GRAPHICS
WOS:000170264200053,ADVANCES IN ABRASIVE PROCESSES
WOS:001405035300001,INTERNATIONAL JOURNAL OF HYDROGEN ENERGY
WOS:000865739200052,"APPLICATIONS OF DECISION SCIENCE IN MANAGEMENT, ICDSM 2022"
WOS:001515786700085,"SIXTEENTH INTERNATIONAL CONFERENCE ON GRAPHICS AND IMAGE PROCESSING, ICGIP 2024"
WOS:001112884700001,JOURNAL OF INDUSTRIAL AND MANAGEMENT OPTIMIZATION
WOS:000513293200005,INFORMATION SCIENCES
WOS:000367455900011,INTERNATIONAL JOURNAL OF PATTERN RECOGNITION AND ARTIFICIAL INTELLIGENCE
